mu sigma
3.5935483617638706 4.64253625607612
3.646619369195743 4.555814275751772
3.6110912358806484 4.14206889703945
3.0171965066846664 4.878504227321461
2.721608613633344 3.882876053504811
2.3851536264226256 4.681994701668758
3.122850900989314 3.866721687172253
2.2856157210306125 4.552378219810535
3.1661564268121287 3.875163685900926
2.2437029870378358 4.421669408881042
3.6220870112981154 4.582436853091407
3.5221776202811554 4.6946567102394
3.683630813584465 4.345126166949358
3.506818605074906 -4.706573508293479
2.369526061644567 4.659858679980962
2.7045491704946185 3.8917574293900246
3.6773815429907906 4.425158275709366
3.3195166400682536 4.807822604846221
2.717506226087825 4.842647871586241
3.179604541703927 4.848931838647024
3.611111664104177 4.15866659780927
3.5722225223533868 4.108328188749979
2.595700668491437 4.799654552895588
3.1954217271885854 3.8879989974344826
2.5515843292670572 4.77963002014598
3.0729723113974323 3.8659627348674777
3.1878111637772157 4.8429542123024785
3.588217914633854 4.6109403776178945
3.5137526824298453 4.686954462980927
3.513250872649292 4.686295107463698
3.3536206185835673 3.9478246737677543
2.763990334817589 4.840973238851076
2.6312367340492044 3.9269208269815508
3.65794546082362 4.443425904896799
2.303985387964797 4.5386457060604375
3.480816155458572 4.034632317882739
2.644080761401352 4.8041306652032665
3.138653324748334 4.841322251902232
3.4016453045499935 3.9820757953342727
3.032024652656063 3.8710051477667977
3.658016310481082 4.3362530504993995
3.6583904281724524 4.34550855723677
2.922132009305554 4.853910847437286
3.0859816324446223 3.8777483247806495
2.5878853695567234 3.950740994134081
3.6561797542366525 4.407909251442664
2.2810370919600547 4.282303404599031
2.671257889119387 3.9182986318820285
2.27623489347624 4.428719752177182
2.842446745268872 4.843974610354249
3.522199161007635 4.08128501880929
3.281684902546087 4.794917041738225
2.690531354210081 3.916209192304253
2.523891887726622 3.9924025767286073
3.6295269184857797 4.475332556268109
3.4676859019452926 4.042491249869774
2.847989474501104 4.834154242268394
2.392086949237348 4.624360245141669
3.6403775346327896 4.396285171513285
3.167390622824678 4.817771794286442
3.62508931572882 4.265585361698292
3.3723380154693143 3.9807787236566994
3.2874780993492183 4.781208335746336
3.3652764451206885 4.744319123880071
3.371460902331947 3.984133042606057
3.246174088801493 4.792094228372813
2.5610380392020082 4.742855613903886
2.2963954833272804 4.31145494141026
3.2227300548214326 3.9217613356694114
3.6328753238021916 4.331791903441817
2.5400139942072375 4.730348147856275
3.036037200685825 3.8874666655653596
2.483281435799025 4.692953457133605
2.8249498337820342 4.821799912069086
2.9621735774985587 3.8881273429734313
2.972962843619423 -4.827343940586246
2.9359053373793373 4.826786585753456
2.8623928894034654 3.8941731594549465
2.3069002732641004 4.428190984793432
3.555538965228386 4.572174821524856
3.6071231485768283 4.260973032941658
2.3031932216776845 4.364488102343519
2.3042893054234046 4.377568536108095
2.915959343307671 3.891801119098575
